24-06-03 18:58:43.273 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-06-03 18:58:43.387 [restartedMain] INFO  c.n.BusBooking.BusBookingApplication - Starting BusBookingApplication using Java 17.0.5 with PID 26840 (C:\Users\ADMIN\Downloads\bus_booking_backend-main\bus_booking_backend-main\target\classes started by ADMIN in C:\Users\ADMIN\Downloads\bus_booking_backend-main) 
24-06-03 18:58:43.389 [restartedMain] INFO  c.n.BusBooking.BusBookingApplication - No active profile set, falling back to 1 default profile: "default" 
24-06-03 18:58:43.505 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
24-06-03 18:58:43.505 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
24-06-03 18:58:45.140 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-06-03 18:58:45.236 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 89 ms. Found 4 MongoDB repository interfaces. 
24-06-03 18:58:46.072 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http) 
24-06-03 18:58:46.085 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"] 
24-06-03 18:58:46.087 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-06-03 18:58:46.087 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19] 
24-06-03 18:58:46.152 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-06-03 18:58:46.153 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2647 ms 
24-06-03 18:58:46.527 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.5+9-LTS-191"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='naveen', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@41d3e627, com.mongodb.Jep395RecordCodecProvider@39b6e6ca, com.mongodb.KotlinCodecProvider@5d521644]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.arybrtd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-kwr7eq-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-06-03 18:58:46.581 [cluster-ClusterId{value='665dc50e7b48c35596663bc2', description='null'}-srv-cluster0.arybrtd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017 to client view of cluster 
24-06-03 18:58:46.676 [cluster-ClusterId{value='665dc50e7b48c35596663bc2', description='null'}-srv-cluster0.arybrtd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017 to client view of cluster 
24-06-03 18:58:46.683 [cluster-ClusterId{value='665dc50e7b48c35596663bc2', description='null'}-srv-cluster0.arybrtd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017 to client view of cluster 
24-06-03 18:58:46.889 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
