24-06-12 16:44:22.788 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-06-12 16:44:22.871 [restartedMain] INFO  c.n.BusBooking.BusBookingApplication - Starting BusBookingApplication using Java 17.0.5 with PID 14976 (C:\Users\ADMIN\Downloads\bus_booking_backend-main\bus_booking_backend-main\target\classes started by ADMIN in C:\Users\ADMIN\Downloads\bus_booking_backend-main) 
24-06-12 16:44:22.871 [restartedMain] INFO  c.n.BusBooking.BusBookingApplication - No active profile set, falling back to 1 default profile: "default" 
24-06-12 16:44:22.938 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
24-06-12 16:44:22.938 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
24-06-12 16:44:24.118 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-06-12 16:44:24.182 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59 ms. Found 4 MongoDB repository interfaces. 
24-06-12 16:44:24.860 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http) 
24-06-12 16:44:24.871 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"] 
24-06-12 16:44:24.873 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-06-12 16:44:24.873 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19] 
24-06-12 16:44:24.935 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-06-12 16:44:24.935 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1989 ms 
